student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year,addr_postal,addr_city,addr_district
1,Claudia Short ,20,Unknown,0.0,+16193794152,Katieland,Unknown,,Data Science,0.0,active,3.72,good,135.0,,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","['gun', 'nice']",2.0,5.0,1.0,"['with', 'onto']",4.0,1198.0,1089.0,laptop,HP,2021.0,phone,Xiaomi,2021.0,100539,Tashkent, South Kevin district
2,Unknown,20,Female,0.0,Unknown,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data Science,0.0,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,,,,,,,,,,,,,,,100332,Unknown,Unknown
3,Kathryn Moyer ,20,Unknown,0.0,Unknown,Lake Stevenmouth,Unknown,2017-08-14 00:00:00,Data Science,0.0,pending,0.0,  excellent  ,185.0,,"Wendyshire 12-kv, dom 1, Tashkent","['fast', 'clearly']",5.0,3.0,1.0,"['despite', 'clearly']",1.0,263.0,202.0,laptop,HP,2020.0,phone,Samsung,2023.0,Unknown,Tashkent,Unknown
4,Ruben Wilson,0,Female,81.0,Unknown,Port Pamelafort,Unknown,1973-09-17 00:00:00,Unknown,0.0,inactive,0.0,good,175.0,,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","['left', 'role']",3.0,5.0,1.0,"['full', 'series']",4.0,508.0,698.0,laptop,Lenovo,2020.0,phone,Samsung,2024.0,100097,Tashkent, North Tamara district
5,Robert Pruitt,20,Female,0.0,+0011826595631,Kingburgh,Unknown,2023-11-25 00:00:00,Unknown,0.0,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","['sort', 'science']",1.0,4.0,1.0,"['whose', 'save']",3.0,862.0,1058.0,laptop,Lenovo,2023.0,phone,Apple,2022.0,Unknown,Unknown,Unknown
6,David Martinez,20,Male,0.0,+0010748286016,Hugheshaven,nathangibbs@hotmail.com,,Data Science,0.0,pending,0.0,average,8500.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551",,,,,,,,,,,,,,,100551,Tashkent, North Jamesfurt district
7,Unknown,18,Female,71.0,+3140180928,Sharpfurt,Unknown,1982-01-16 00:00:00,Data Science,0.0,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","['fall', 'teacher']",4.0,1.0,4.0,"['teacher', 'good']",3.0,1270.0,931.0,laptop,HP,2018.0,phone,Xiaomi,2023.0,Unknown,Tashkent,Unknown
8,Nicholas Dennis,21,Female,0.0,+8091556011,Matthewfort,Unknown,2000-06-26 00:00:00,Python,63.0,active,0.0,excellent,135.0,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,,,,,70576,Janetberg,Unknown
9,Unknown,0,Female,77.0,+8549645423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Unknown,0.0,active,0.0,  excellent  ,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","['require', 'open']",1.0,5.0,4.0,"['partner', 'walk']",0.0,850.0,1062.0,laptop,Dell,2019.0,phone,Apple,2020.0,Unknown,Tashkent,Unknown
10,Elizabeth Villegas,22,Unknown,0.0,+2054674476,South Dianatown,Unknown,2013-02-11 07:12:29,Unknown,99.0,inactive,0.0,average,21500.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","['management', 'to']",1.0,1.0,4.0,"['beat', 'southern']",3.0,597.0,1150.0,laptop,Dell,2016.0,phone,Xiaomi,2023.0,Unknown,Unknown,Unknown
11,Shawn Baker ,19,Unknown,0.0,+9868509629,Zhangstad,Unknown,2025-06-10 00:00:00,Data Science,0.0,active,0.0,  excellent  ,18300.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",,,,,,,,,,,,,,,100659,Tashkent, North Samantha district
12,Unknown,18,Unknown,71.0,Unknown,Austinside,Unknown,2013-01-14 19:16:00,Unknown,0.0,inactive,0.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315",,,,,,,,,,,,,,,100315,Tashkent, Morrismouth district
13,Unknown,19,Female,0.0,+2235736311,Lesliefurt,Unknown,2014-12-24 00:00:00,Data Science,0.0,inactive,0.0,  excellent  ,84.0,2010-11-21 00:00:00,"Frankchester 9-kv, dom 20, Tashkent",,,,,,,,,,,,,,,Unknown,Tashkent,Unknown
14,Thomas Prince,20,Unknown,0.0,Unknown,East Michellestad,aphillips@holland-diaz.org,2012-02-09 00:00:00,Unknown,0.0,inactive,0.0,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,,,,,,,,,,,,,,,100394,Unknown,Unknown
15,Unknown,21,Male,73.0,Unknown,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,Python,0.0,pending,0.0,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",,,,,,,,,,,,,,,Unknown,Tashkent,Unknown
